,Hela-Hypoxia-Cy vs Hela-Normoxia-Cy,SDH-WT-Normoxia-Cy vs Hela-Normoxia-Cy,SDH-KO-Normoxia-Cy vs Hela-Normoxia-Cy,SDH-WT-Normoxia-Cy vs Hela-Hypoxia-Cy,SDH-KO-Normoxia-Cy vs Hela-Hypoxia-Cy,SDH-KO-Normoxia-Cy vs SDH-WT-Normoxia-Cy
Metabolite ,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
3-Phosphoglyceric acid,0.893,0.697,1,0.780515118,1.119820829,1.43472023
6-Phosphogluconic acid,0.567622951,0.192622951,0.107581967,0.339350181,0.189530686,0.558510638
Betaine,0,0,0,NA,NA,NA
Citric acid,0.285496183,0.624427481,0.570992366,2.187165775,2,0.914425428
DL-Pyroglutamic acid ,0,0.372328459,0.582677165,NA,NA,1.564954683
"Fructose 1,6-bisphosphate",1.267427123,0.228136882,0.524714829,0.18,0.414,2.3
GDP,0.805611222,0.340681363,1.002004008,0.422885572,1.243781095,2.941176471
GMP,1.040126716,0.316789863,1.055966209,0.304568528,1.015228426,3.333333333
GTP,0,0.314,0.455,NA,NA,1.449044586
Gluconic acid,0,0,0,NA,NA,NA
Glucose 6-phosphate,0.862487361,0.822042467,0.29726997,0.953106682,0.344665885,0.361623616
Lactic acid,0.921483097,0.299890949,0.790621592,0.325443787,0.857988166,2.636363636
Malic acid,0.951167728,0.628450106,0.178343949,0.660714286,0.1875,0.283783784
N-Acetyl Glutamate,1,0,0,0,0,NA
N-Acetyl-L-aspartic acid,0.657838983,0,0,0,0,NA
NADPH,0,0,0,NA,NA,NA
O-Acetyl Serine,0,0,0,NA,NA,NA
S-(2-Succinyl)cysteine ,0,0,0,NA,NA,NA
UMP,0.765996344,0.305301645,0.97440585,0.398568019,1.272076372,3.191616766
Ureidosuccinic acid,0,0,0,NA,NA,NA
Xylulose 5-phosphate,0,0,0,NA,NA,NA
alpha-Ketoglutaric acid,0.982876712,0.589041096,1.162671233,0.599303136,1.182926829,1.973837209
cis-Aconitic acid,0.351351351,0.684684685,0.595881596,1.948717949,1.695970696,0.870300752
Glycerol 1-phosphate,1.01010101,0.498989899,1.008080808,0.494,0.998,2.020242915
ADP,0.717032967,0.357142857,1.412087912,0.498084291,1.969348659,3.953846154
ATP,0.538947368,0.364210526,0.464210526,0.67578125,0.861328125,1.274566474
CTP,0.724724725,0.404404404,0.111111111,0.55801105,0.153314917,0.274752475
L-Glutathione reduced,0.886091127,0.092326139,0.027577938,0.104194858,0.031123139,0.298701299
NADH,1.154946365,0.083432658,0.21215733,0.072239422,0.18369453,2.542857143
UDP,0.782,0.595,0.289,0.760869565,0.369565217,0.485714286
UTP,0.540621866,0.397191575,0.147442327,0.734693878,0.272727273,0.371212121
5'-Deoxy-5'-(methylthio)adenosine,1,0.503,0.597,0.503,0.597,1.186878728
Glycine,0.936853002,0.355072464,1.011387164,0.379005525,1.079558011,2.848396501
L-Serine,1.124859393,0.319460067,0.543307087,0.284,0.483,1.700704225
AMP,0.719178082,0.431506849,1.369863014,0.6,1.904761905,3.174603175
L-Alanine,0.998995984,1.004016064,1.004016064,1.005025126,1.005025126,1
L-Aspartic acid,0.953512397,0.619834711,0.055785124,0.650054171,0.058504875,0.09
L-Cystathionine,1.12042503,0,0,0,0,NA
L-Glutamic acid,1.058024691,0.325925926,0.317283951,0.308051342,0.299883314,0.973484848
L-Glutamine,1.005025126,0.309547739,0.335678392,0.308,0.334,1.084415584
L-Proline,1.030716724,0.116040956,0.161547213,0.112582781,0.156732892,1.392156863
NAD+,1.032608696,0.32173913,0.282608696,0.311578947,0.273684211,0.878378378
