,Hela-Hypoxia-Mi vs Hela-Normoxia-Mi,SDH-WT-Normoxia-Mi vs Hela-Normoxia-Mi,SDH-KO-Normoxia-Mi vs Hela-Normoxia-Mi,SDH-KO-Normoxia-Mi vs Hela-Hypoxia-Mi,SDH-KO-Normoxia-Mi vs Hela-Hypoxia-Mi,SDH-KO-Normoxia-Mi vs SDH-WT-Normoxia-Mi
Metabolite ,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
3-Phosphoglyceric acid,NA,NA,NA,0.144927536,2.333333333,16.1
6-Phosphogluconic acid,3.172413793,1.137931034,2.252873563,0.358695652,0.710144928,1.97979798
Betaine,0,0,0,NA,NA,NA
Citric acid,0.307692308,0.773076923,0.126923077,2.5125,0.4125,0.164179104
DL-Pyroglutamic acid ,0,0.18226601,1.980295567,NA,NA,10.86486486
"Fructose 1,6-bisphosphate",NA,NA,NA,0,1.224489796,NA
GDP,2.178217822,0.435643564,0.564356436,0.2,0.259090909,1.295454545
GMP,1.440758294,0.165876777,0.156398104,0.115131579,0.108552632,0.942857143
GTP,NA,NA,NA,NA,NA,NA
Gluconic acid,0,0,0,NA,NA,NA
Glucose 6-phosphate,1.852941176,0.147058824,8.764705882,0.079365079,4.73015873,59.6
Lactic acid,0.473684211,0.052631579,29.15789474,0.111111111,61.55555556,554
Malic acid,0.362903226,0.677419355,0.338709677,1.866666667,0.933333333,0.5
N-Acetyl Glutamate,0.64556962,0,0,0,0,NA
N-Acetyl-L-aspartic acid,0.421875,0,0,0,0,NA
NADPH,0,0,0,NA,NA,NA
O-Acetyl Serine,0,0,0,NA,NA,NA
S-(2-Succinyl)cysteine ,0,0,0,NA,NA,NA
UMP,0.70718232,0.279005525,1.157458564,0.39453125,1.63671875,4.148514851
Ureidosuccinic acid,0,0,0,NA,NA,NA
Xylulose 5-phosphate,0,0,0,NA,NA,NA
alpha-Ketoglutaric acid,0.504672897,0.654205607,1.570093458,1.296296296,3.111111111,2.4
cis-Aconitic acid,0.161434978,1.376681614,0.170403587,8.527777778,1.055555556,0.123778502
Glycerol 1-phosphate,0.642857143,0.523809524,7.071428571,0.814814815,11,13.5
ADP,1.415584416,0.463203463,0.930735931,0.327217125,0.657492355,2.009345794
ATP,1.266666667,0.033333333,0.2,0.026315789,0.157894737,6
CTP,NA,NA,NA,0,0,NA
L-Glutathione reduced,0.545454545,0.181818182,1.324675325,0.333333333,2.428571429,7.285714286
NADH,0.409090909,0.263636364,2.609090909,0.644444444,6.377777778,9.896551724
UDP,1.601769912,0.433628319,1.159292035,0.270718232,0.723756906,2.673469388
UTP,NA,NA,NA,0,0,NA
5'-Deoxy-5'-(methylthio)adenosine,1.991111111,0.204444444,1.337777778,0.102678571,0.671875,6.543478261
Glycine,0,3,52,NA,NA,17.33333333
L-Serine,0.34375,0.59375,7.21875,1.727272727,21,12.15789474
AMP,0.906,0.206,0.272,0.227373068,0.300220751,1.32038835
L-Alanine,0,0,77,NA,NA,NA
L-Aspartic acid,1.034482759,0.344827586,0.224137931,0.333333333,0.216666667,0.65
L-Cystathionine,0.047619048,0,0,0,0,NA
L-Glutamic acid,0.868263473,0.28742515,0.94011976,0.331034483,1.082758621,3.270833333
L-Glutamine,0.303030303,0.454545455,1.818181818,1.5,6,4
L-Proline,1.173076923,0.192307692,0.653846154,0.163934426,0.557377049,3.4
NAD+,0.524822695,0.418439716,0.631205674,0.797297297,1.202702703,1.508474576
